type,id,question_zh,image_url,A,B,C,D,E,question_en,A_EN,B_EN,C_EN,D_EN,E_EN,answer,comments_zh,comments_EN
multiple,M15,Opti-Visor 在降低系统成本方面的作用包括？,,减少设备能耗，降低运行成本,节省安装时间，降低安装成本,延长设备使用寿命，降低更换成本,优化设备配置，降低采购成本,减少维护次数，降低维护成本,What roles does Opti - Visor play in reducing system costs?,Reduce equipment energy consumption and lower operating costs,Save installation time and reduce installation costs,Prolong equipment service life and lower replacement costs,Optimize equipment configuration and reduce procurement costs,Reduce maintenance frequency and lower maintenance costs,ABCDE,Opti-Visor 在降低系统成本方面的作用包括减少设备能耗，降低运行成本，节省安装时间，降低安装成本；延长设备使用寿命，降低更换成本；优化设备配置，降低采购成本；减少维护次数，降低维护成本。,"The role of Opti-Visor in reducing system costs includes reducing equipment energy consumption and operating costs, saving installation time and reducing installation costs, extending equipment service life and reducing replacement costs, optimizing equipment configuration and reducing procurement costs, and reducing maintenance frequency and reducing maintenance costs."
multiple,M16,Opti-Visor 在与其他系统集成方面的优势有？,,可与多种楼宇管理系统（BMS）兼容,能与其他节能设备协同工作,具备标准化的接口,实现数据共享与交互,易于融入现有系统架构,What are the advantages of Opti - Visor in terms of integration with other systems?,Compatible with multiple Building Management Systems (BMS),Can work in coordination with other energy - saving equipment,Have standardized interfaces,Achieve data sharing and interaction,Easy to integrate into the existing system architecture,ABCDE,Opti-Visor 在与其他系统集成方面相比，可与多种楼宇管理系统（BMS）兼容，能与其他节能设备协同工作，具备标准化的接口，实现数据共享与交互，易于融入现有系统架构。,"Compared with other system integrations, Opti-Visor is compatible with multiple Building Management Systems (BMS), can work in collaboration with other energy-saving devices, has standardized interfaces to achieve data sharing and interaction, and is easy to integrate into the existing system architecture."
multiple,M17,Opti-Visor 在控制精度方面的优势体现在？,,对设备运行参数的精确监测,对负荷变化的快速准确响应,精确控制设备的启停和转速,精准调节温度和流量等参数,有效避免控制误差的累积,In which aspects does the advantage of Opti - Visor in control accuracy manifest?,Precisely monitor equipment operation parameters,Quickly and accurately respond to load changes,Precisely control the start/stop and speed of equipment,Precisely adjust parameters such as temperature and flow rate,Effectively avoid the accumulation of control errors,ABCDE,Opti-Visor 在控制精度方面的优势体现在对设备运行参数的精确监测；对负荷变化的快速准确响应；精确控制设备的启停和转速；精准调节温度和流量等参数；有效避免控制误差的累积。,"The advantages of Opti-Visor in control accuracy are reflected in the precise monitoring of equipment operation parameters, rapid and accurate response to load changes, precise control of equipment start/stop and rotational speed, precise adjustment of parameters such as temperature and flow rate, and effective avoidance of the accumulation of control errors."
multiple,M18,Opti-Visor 在环保方面的贡献有？,,显著节水节能，减少碳排放,优化设备运行，降低污染物排放,提高能源利用效率，促进可持续发展,减少化学药剂使用,采用环保材料制造设备,What contributions does Opti - Visor make to environmental protection?,"Significantly save water and energy, and reduce carbon emissions",Optimize equipment operation to reduce pollutant emissions,Improve energy utilization efficiency and promote sustainable development,Reduce the use of chemical agents,Manufacture equipment with environmentally friendly materials,ABCDE,Opti-Visor 在环保方面的贡献有显著节水节能20%-50%，减少碳排放；优化设备运行，降低污染物排放；提高能源利用效率，促进可持续发展；减少化学药剂使用；采用环保材料制造设备。,"The contributions of Opti-Visor in environmental protection include significant water and energy savings of 20%-50%, reduction of carbon emissions, optimization of equipment operation to reduce pollutant emissions, improvement of energy efficiency to promote sustainable development, reduction of chemical agent use, and the use of environmentally friendly materials in equipment manufacturing."
multiple,M19,Opti-Visor 在提升设备运行效率方面的技术手段有？,,智能变频技术,并联控制技术,优化的控制逻辑,精准的传感器技术,设备协同运行技术,What technical means does Opti - Visor use to enhance equipment operation efficiency?,Intelligent variable - frequency technology,Parallel control technology,Optimized control logic,Precise sensor technology,Equipment collaborative operation technology,ABCDE,Opti-Visor 在提升设备运行效率方面的技术手段有智能变频技术，并联控制技术，优化的控制逻辑，精准的传感器技术，设备协同运行技术。,"The technical means of Opti-Visor in enhancing equipment operation efficiency include intelligent variable-frequency technology, parallel control technology, optimized control logic, precise sensor technology, and equipment collaborative operation technology."
multiple,M20,Opti-Visor 在产品升级和维护方面的优势有？,,远程升级功能,自动检测更新,简单的维护操作,提供详细的维护手册,快速响应维护需求,What are the advantages of Opti - Visor in terms of product upgrade and maintenance?,Remote upgrade function,Automatic detection of updates,Simple maintenance operations,Provide detailed maintenance manuals,Quickly respond to maintenance requirements,ABCDE,Opti-Visor 在产品升级和维护方面的优势有远程升级功能，自动检测更新，维护操作简单，详细的维护手册，快速响应维护需求。,"The advantages of Opti-Visor in product upgrade and maintenance include remote upgrade function, automatic detection of updates, simple maintenance operations, detailed maintenance manuals, and rapid response to maintenance requirements."
judge,J1,Opti-Visor 只能应用于全新建设的暖通空调系统。（ ）,,正确,错误,,,,Opti - Visor can only be applied to brand - new HVAC systems. ( ),TRUE,FALSE,,,,错,Opti-Visor 主要应用于现有一次变流量暖通空调系统。,Opti-Visor is mainly applied to existing primary variable-flow HVAC systems.
judge,J2,Opti-Visor 可应用于包含定频压缩机的冷水机组安装。（ ）,,正确,错误,,,,Opti - Visor can be applied to chiller installations with fixed - frequency compressors. ( ),TRUE,FALSE,,,,错,Opti-Visor 可应用于包含水冷变频主机、变频压缩机、变频冷却塔、变频冷却泵及现有的一次变流量机房自动化的系统。,"Opti-Visor can be applied to systems that include water-cooled variable-frequency chillers, variable-frequency compressors, variable-frequency cooling towers, variable-frequency cooling pumps, and existing primary variable-flow machine room automation."
judge,J3,Opti-Visor 从 BAS 获取的信息中不包括室内空气湿度。（ ）,,正确,错误,,,,The information obtained by Opti - Visor from the BAS includes indoor air humidity. ( ),TRUE,FALSE,,,,对,,
judge,J4,Opti-Visor 向 BAS 提供的信息中不包括冷却泵速度。（ ）,,正确,错误,,,,The information provided by Opti - Visor to the BAS does not include the cooling pump speed. ( ),TRUE,FALSE,,,,错,Opti-Visor 向 BAS 提供的信息中包括冷却泵速度。,The information provided by Opti-Visor to BAS includes the cooling pump speed.
