type,id,question_zh,image_url,A,B,C,D,E,question_en,A_EN,B_EN,C_EN,D_EN,E_EN,answer,comments_zh,comments_EN
single,S17,DE6800Q 增压机组的控制曲线编程是在（ ）进行。,,客户现场,艾蒙斯特朗无比先进的工厂,第三方检测机构,研发实验室,,Where is the control curve programming of the DE6800Q pressurized unit carried out?,At the customer's site,At Armstrong's extremely advanced factory,At a third - party testing institution,In a research and development laboratory,,B,,
single,S18,DE6800Q 增压机组维修时，不同泵可单独维修和更换，其好处是（ ）。,,降低维修成本,缩短停机时间,提高维修效率,减少维修人员数量,,"When the DE6800Q pressurized unit is under maintenance, different pumps can be repaired and replaced separately. What is the benefit of this?",Reduce maintenance costs,Shorten downtime,Improve maintenance efficiency,Reduce the number of maintenance personnel,,B,,
single,S19,与竞品相比，DE6800Q 增压机组在材料上的优势不包括（ ）。,,不锈钢管道,全不锈钢泵,不锈钢结构件,铸铁泵,,"Compared with competing products, which of the following is not an advantage of the DE6800Q pressurized unit in terms of materials?",Stainless - steel pipes,Fully stainless - steel pumps,Stainless - steel structural parts,Cast - iron pumps,,D,,
single,S20,DE6800Q 增压机组中，DEPM 电机相比传统电机，重量减轻了（ ）。,,5%,8%,10%,13%,,"Compared with traditional motors, how much lighter is the DEPM motor in the DE6800Q pressurized unit?",5%,8%,10%,13%,,B,,
multiple,M1,DE6800 相较于竞争对手增压机组优势在哪里？,,更小的占地面积,全不锈钢材质,基于效率能效分级,建筑用水节能分析,,What are the advantages of DE6800 compared with competing pressurized units?,Smaller footprint,Fully stainless - steel material,Efficiency - based energy - efficiency grading,Energy - saving analysis for building water use,,ABCD,,
multiple,M2,DEPM6800 相较于 DE6800Q 优势在哪里？,,电机效率更高,噪声更低,重量更轻,寿命更长,,What are the advantages of DEPM6800 compared with DE6800Q?,Higher motor efficiency,Lower noise,Lighter weight,Longer service life,,ABCD,,
multiple,M3,稳压罐的作用？,,维持系统中的压力,提供少量用水需求,系统需求量少时，允许泵停机,真空排气,,What are the functions of the pressure - stabilizing tank?,Maintain the pressure in the system,Meet a small amount of water demand,Allow the pump to stop when the system demand is low,Vacuum exhaust,,ABC,,
multiple,M4,以下部件哪个是 DE6800Q 标准组成？,,水泵,变频器,压力传感器,IPS4000,,Which of the following components are standard components of DE6800Q?,Water pump,Frequency converter,Pressure sensor,IPS4000,,ABC,,
multiple,M5,以下哪项是 DE6800Q 优势？,,更小的安装占地面积,建筑用水节能分析,全不锈钢材质,高级控制功能和用户界面,,What are the advantages of DE6800Q?,Smaller installation footprint,Energy - saving analysis for building water use,Fully stainless - steel material,Advanced control functions and user interface,,ABCD,,
multiple,M6,DE6800Q 的标准承压 （ ）,,PN10,PN16,PN25,PN30,,What are the standard pressure ratings of DE6800Q?,PN10,PN16,PN25,PN30,,BC,,
multiple,M7,DE6800Q 增压机组的应用场景包括（ ）。,,为建筑物居民提供淡水,为建筑物设备提供淡水,增加市政用水压力,增加水库水压力满足上层需求,,What are the application scenarios of the DE6800Q pressurized unit?,Provide fresh water for building residents,Provide fresh water for building equipment,Increase the pressure of municipal water,Increase the pressure of reservoir water to meet the demands of upper floors,,ABCD,,
multiple,M8,DE6800Q 增压机组在施工阶段的优势（ ）。,,真正的即插即用：工厂组装缩短安装时间,小巧设计，可更轻松地在现场运输。安装占地面积小，可减少空间要求和初期装机总成本,所有增压系统相关配件的一站式供应商，最大限度减轻项目协调压力,集管可散件运输（可选）减少增压系统运送到机房途中所需的时间和麻烦,,What are the advantages of the DE6800Q pressurized unit during the construction stage?,True plug - and - play: Factory assembly shortens the installation time,Compact design for easier on - site transportation. Small installation footprint reduces space requirements and the total initial installation cost,"One - stop supplier for all pressurization system - related accessories, minimizing project coordination pressure","The manifold can be shipped in parts (optional), reducing the time and trouble required to transport the pressurization system to the machine room",,ABCD,,
multiple,M9,DE6800Q 增压机组的 DEPM 电机优势包括（ ）。,,能耗降低 15%,提高可靠性,寿命更长,运行时更安静,,What are the advantages of the DEPM motor in the DE6800Q pressurized unit?,15% reduction in energy consumption,Improved reliability,Longer service life,Quieter operation,,ABCD,,
multiple,M10,与竞品相比，DE6800Q 增压机组在材料和结构上的优势有（ ）。,,采用不锈钢管道,全不锈钢泵,不锈钢结构件,铸铁泵更耐用,,What are the advantages of the DE6800Q pressurized unit in terms of materials and structure compared with competing products?,Use of stainless - steel pipes,Fully stainless - steel pumps,Stainless - steel structural parts,More durable cast - iron pumps,,ABC,,
multiple,M11,DE6800Q 增压机组进行能耗分析时，可提供的数据有（ ）。,,每月能耗量,每年能耗量,瞬时用电量,能耗成本报告,,What data can be provided when the DE6800Q pressurized unit conducts energy - consumption analysis?,Monthly energy consumption,Annual energy consumption,Instantaneous power consumption,Energy - consumption cost report,,ABCD,,
multiple,M12,DE6800Q 增压机组在调试阶段的优势（）。,,能够将多个压力传感器与单独的设定点连接，加快多区 / 多设定点系统的调试,直观的全彩色触摸屏，导航和系统启动更轻松,专用调试模式，支持增压系统在系统启动期间满负荷运行。调试后返回正常运行模式，以最大限度地减少能源浪费和不必要的设备磨损,真正的即插即用：工厂组装套件，已根据设计条件进行了预调试。减少调试过程的时间要求和复杂程度,,What are the advantages of the DE6800Q pressurized unit during the commissioning stage?,"Ability to connect multiple pressure sensors to separate setpoints, speeding up the commissioning of multi - zone/multi - setpoint systems",Intuitive full - color touch screen for easier navigation and system startup,"Dedicated commissioning mode that supports the full - load operation of the pressurization system during system startup. After commissioning, it returns to normal operation mode to minimize energy waste and unnecessary equipment wear","True plug - and - play: Factory - assembled kits are pre - commissioned according to design conditions, reducing the time requirements and complexity of the commissioning process",,ABCD,,
multiple,M13,DE6800Q 增压机组集成了高效的（ ）。,,泵,电机,现代变速控制,换热装置,,What efficient components does the DE6800Q pressurized unit integrate?,Pump,Motor,Modern variable - speed control,Heat - exchange device,,ABC,,
multiple,M14,DE6800Q 增压机组中稳压罐的作用有（ ）。,,维持管道系统压力,提供少量需求，允许泵停机,防止泵频繁启动,吸收或施加压力，在低需求时高效供水,,What are the functions of the pressure - stabilizing tank in the DE6800Q pressurized unit?,Maintain the pressure of the pipeline system,Meet a small amount of demand and allow the pump to stop,Prevent the pump from starting frequently,Absorb or apply pressure to supply water efficiently during low - demand periods,,ABCD,,
multiple,M15,ARMSTRONG DE 智能变频增压系统的优势包括（ ）。,,无比节能,多种泵配置，设计灵活,易于安装，无需现场额外接线或装配,可单独维修和更换不同泵，缩短停机时间,,What are the advantages of the ARMSTRONG DE intelligent variable - frequency pressurization system?,Extremely energy - saving,Multiple pump configurations for flexible design,"Easy to install, no additional on - site wiring or assembly required","Separate repair and replacement of different pumps, shortening downtime",,ABCD,,
multiple,M16,与感应电机 + 集成 VFD 相比，DEPM 电机在效率方面的优势体现在（ ）。,,功率越小时相较于感应电机效率更高,部分负荷时效率更高,效率曲线更平稳,启动时效率更高,,"Compared with an induction motor + integrated VFD, where does the efficiency advantage of the DEPM motor lie?",Higher efficiency than induction motors when the power is lower,Higher efficiency under partial load,Smoother efficiency curve,Higher efficiency during startup,,AB,,
multiple,M17,DE6800Q 增压机组的多电压额定值包括（ ）。,,575V,460V,208 - 230V,380V,,What are the multi - voltage ratings of the DE6800Q pressurized unit?,575V,460V,208 - 230V,380V,,ABCD,,
multiple,M18,DE6800 在运行和维护方面的优势（ ）,,诸如最佳效率控制、压力重设和水箱填充模式等高级控制功能，可额外降低 10 - 15% 的能耗。,预定义套件考虑了增压系统的实际运行范围，从而降低了因能耗、用水量、水浪费、维护需求和突发停机而导致的全生命周期运行成本。,直观的全彩色触摸屏 HMI 提供详细的分析（不同时间的流量消耗、能耗、当前流量 / 能量），可提供可操作的见解。,所有增压系统相关配件（+ 其他解决方案产品）的一站式供应商，最大限度减轻项目协调压力。,应急电源模式确保增压系统满足关键需求，不会耗尽发电机 / 备用电源。,What are the advantages of DE6800 in terms of operation and maintenance?,"Advanced control functions such as optimal efficiency control, pressure reset, and tank filling mode can further reduce energy consumption by 10 - 15%.","Pre - defined kits consider the actual operating range of the pressurization system, reducing the full - life - cycle operating costs caused by energy consumption, water consumption, water waste, maintenance requirements, and unexpected shutdowns.","Intuitive full - color touch - screen HMI provides detailed analysis (flow consumption, energy consumption, current flow/energy at different times), providing actionable insights.","One - stop supplier for all pressurization system - related accessories (+ other solution products), minimizing project coordination pressure.",Emergency power mode ensures that the pressurization system meets critical demands without depleting the generator/backup power supply.,ABCDE,,
multiple,M19,DE6800Q 增压机组具有以下哪些功能（ ）。,,过载保护,运行数据记录,实时数据监视,BAS 通讯,,What functions does the DE6800Q pressurized unit have?,Overload protection,Operating data recording,Real - time data monitoring,BAS communication,,ABCD,,
multiple,M20,DE6800Q 增压机组的应用特性有哪些（ ）。,,软注水,压力定降,备用设定点,最小运行时间管理,,What are the application features of the DE6800Q pressurized unit?,Soft filling,Pressure droop setting,Standby setpoint,Minimum operating time management,,ABCD,,
judge,J1,DE6800 承压只有 PN16 的。（ ）,,正确,错误,,,,The pressure rating of DE6800 is only PN16. ( ),TRUE,FALSE,,,,错误,,
judge,J2,DEPM6800 泵组单台水泵功率最大为 11KW。（ ）,,正确,错误,,,,The maximum power of a single water pump in the DEPM6800 pump set is 11KW. ( ),TRUE,FALSE,,,,正确,,
judge,J3,Armstrong 增压机组标配 PN16 和 PN25 两种承压等级。（ ）,,正确,错误,,,,"Armstrong pressurized units are standard - equipped with two pressure ratings, PN16 and PN25. ( )",TRUE,FALSE,,,,正确,,
judge,J4,增压机组 IE3 电机单台最大功率为 45KW（ ）,,正确,错误,,,,The maximum power of a single IE3 motor in a pressurized unit is 45KW. ( ),TRUE,FALSE,,,,正确,,
judge,J5,Armstrong DE6800 标准 2 - 5 台水泵。（ ）,,正确,错误,,,,The standard number of water pumps in Armstrong DE6800 is 2 - 5. ( ),TRUE,FALSE,,,,正确,,
judge,J6,DE6800Q 主要用于空调闭式系统。（ ）,,正确,错误,,,,DE6800Q is mainly used in closed - loop air - conditioning systems. ( ),TRUE,FALSE,,,,错误,,
judge,J7,Armstrong DE6800Q 撬块配置水泵只有感应电机 / IE3 立式多级泵。（ ）,,正确,错误,,,,The pumps configured in the Armstrong DE6800Q skid are only induction motors/IE3 vertical multi - stage pumps. ( ),TRUE,FALSE,,,,错误,,
judge,J8,Armstrong DE6800Q 流量最大可以达到 612m³/h，扬程 280m。（ ）,,正确,错误,,,,The maximum flow rate of Armstrong DE6800Q can reach 612m³/h with a head of 280m. ( ),TRUE,FALSE,,,,正确,,
judge,J9,DE6800Q 可以单个泵控制，也可以集中控制。（ ）,,正确,错误,,,,DE6800Q can be controlled individually for each pump or centrally. ( ),TRUE,FALSE,,,,正确,,
judge,J10,"在一次变流量多台冷机制冷系统中，无需 IPS, 可以通过设置主泵，来保护冷冻机，满足冷冻机蒸发器和冷凝器对最小流量的要求。（ ）",,正确,错误,,,,"In a primary variable - flow multi - chiller refrigeration system, without an IPS, the chiller can be protected by setting the main pump to meet the minimum flow requirements of the chiller evaporator and condenser. ( )",TRUE,FALSE,,,,错误,,
judge,J11,Armstrong DE6800Q 具有软注水，压力定降，泵交替运行等先进功能。（ ）,,正确,错误,,,,"Armstrong DE6800Q has advanced functions such as soft filling, pressure droop setting, and pump alternation operation. ( )",TRUE,FALSE,,,,正确,,
judge,J12,Armstrong DE6800Q 增压机组标配本地传感器，可以选配远程传感器作为冗余传感器。（ ）,,正确,错误,,,,The Armstrong DE6800Q pressurized unit is standard - equipped with local sensors and can be optionally equipped with remote sensors as redundant sensors. ( ),TRUE,FALSE,,,,正确,,
judge,J13,Armstrong DE6800Q 增压机组可启用或禁用无流量关停功能。（ ）,,正确,错误,,,,The Armstrong DE6800Q pressurized unit can enable or disable the no - flow shutdown function. ( ),TRUE,FALSE,,,,正确,,
judge,J14,Armstrong DE6800Q 增压机组最多可设置 6 个备用设定点，（ ）,,正确,错误,,,,The Armstrong DE6800Q pressurized unit can set up to 6 standby setpoints. ( ),TRUE,FALSE,,,,正确,,
judge,J15,Soft fill 模式，可降低首次启动期间和断电后水锤相关的风险和成本。在施工阶段（需求极低且罕见）尤其重要。( ),,正确,错误,,,,The Soft fill mode can reduce the risks and costs related to water hammer during the first startup and after a power failure. It is particularly important during the construction stage (when demand is extremely low and rare). ( ),TRUE,FALSE,,,,正确,,
judge,J16,DE6800Q 具有水泵交替运行功能，避免长时间一台水泵连续运行。（ ）,,正确,错误,,,,DE6800Q has the function of pump alternation operation to avoid continuous operation of a single pump for a long time. ( ),TRUE,FALSE,,,,正确,,
judge,J17,DE6800Q 增压机组只有高吸入压力关停功能，不具备低吸入压力关停功能. （ ）,,正确,错误,,,,The DE6800Q pressurized unit only has a high - suction - pressure shutdown function and does not have a low - suction - pressure shutdown function. ( ),TRUE,FALSE,,,,错误,,
judge,J18,增压器具备报警功能，不能记录故障。（ ）,,正确,错误,,,,The supercharger has an alarm function but cannot record faults. ( ),TRUE,FALSE,,,,错误,,
judge,J19,DE6800Q 增压机组的总功率最大为 250kW。（ ）,,正确,错误,,,,The maximum total power of the DE6800Q pressurized unit is 250kW. ( ),TRUE,FALSE,,,,错误,,
judge,J20,稳压罐能维持管道系统压力并提供少量需求，允许泵停机。（ ）,,正确,错误,,,,"The pressure - stabilizing tank can maintain the pressure of the pipeline system, meet a small amount of demand, and allow the pump to stop. ( )",TRUE,FALSE,,,,正确,,
essay,E1,在计算增压供水机组的压力时，我们需要考虑哪些值？,,,,,,,What values do we need to consider when calculating the pressure of a pressurized water supply unit?,,,,,,机组损失、沿程阻力损失、静压、余压，增压器入口压力,,
essay,E2,什么是高层建筑增压供水的解决方案？,,,,,,,What is the solution for high - rise building pressurized water supply?,,,,,,不同高度不同区域使用不同的增压泵组。对于较高的区域，使用额外的增压泵组。,,
essay,E3,稳压罐的作用以及安装方式有哪些？,,,,,,,What are the functions and installation methods of the pressure - stabilizing tank?,,,,,,维持管道系统中的压力，并提供少量需求，以允许泵停机。撬块安装、相邻安装、屋顶安装,,
